name=倉頡
key=abcdefghijklmnopqrstuvwxyz
len=5
push=;'/ 23
commit=1 0 2
wildcard=~
compact=2
code_e2=p11+p12+p21+p22
code_e3=p11+p21+p22+p31
code_a4=p11+p21+p31+n11
[DATA]
a 日
a 曰
aa 昌
aa 昍
aaa 晶
aamh 暘
aaph 晹
aapv 暍
aate 曝
aayf 暻
ab 明
abac 暝
abbe 曖
abbt 盟
abhaf 鷳
abik 猒
abjcm 曌
abjj 暈
abjj 暉
abme 暖
abms 勗
abof 暩
abu 冒
abuu 晛
acim 暡
acnh 晜
acsh 昐
ad 杲
adhaf 鷴
adhl 晰
admq 暐
adwf 暕
aenl 鄤
af 炅
af 炚
afbf 曭
afdq 暽
aff 晱
afhhh 影
afmbc 顯
afmbc 顥
afmu 晃
afno 歞
agbt 曀
agdi 時
aggu 曉
ahbr 晌
ahbr 晑
ahbu 眉
ahe 昄
ahgf 曛
ahhl 昴
ahln 剔
ahml 昕
ahog 暀
ahoo 暰
ahor 晷
ahqm 星
ahqo 昳
ahs 昨
ahs 昈
ahsk 曒
aht 昇
ahvl 昂
ahxu 晲
ahyr 晷
aice 晙
aihaf 鵖
aihs 晟
aijb 晡
aimvu 既
aine 昹
ais 昈
aisl 即
aitc 曠
aj 早
ajbj 暔
ajd 昧
ajii 暷
ajka 暑
ajmm 暄
ajmu 晥
ajnu 晼
ajv 晏
ak 旲
akcf 暸
akkb 晞
akll 昦
aklu 晻
aklv 晻
akms 晇
akn 旯
albk 映
alg 堲
alln 昲
almo 晁
alnc 曊
am 旦
amam 晅
ambb 曘
ambc 暊
ambg 曤
ambi 曇
amcw 晒
amd 旴
ame 昄
amg 旺
amhaf 鴠
amhqu 毾
ami 戥
amig 晊
amj 旱
amj 旰
amk 昊
amks 昮
ammk 晸
ammp 曬
ammr 晤
ammv 晨
amo 昃
amob 昺
amsh 昜
amtb 曞
amwg 量
amwj 曋
amyo 是
an 門
ana 間
anaa 閶
anasm 闒
anau 晚
anau 冕
anayk 閺
anb 閒
anbbe 閿
anbue 闅
anbuk 闃
ancru 閱
and 閑
andh 閉
andmq 闈
andwf 闌
anehr 闊
anf 焛
anfbg 闛
anfbw 闣
angg 閨
angit 闔
anhe 昅
anher 閣
anhpa 閽
anhqu 閐
anhud 闑
anhx 閰
aniav 閬
anirm 閾
anit 閞
anjbc 闐
anjka 闍
anki 閎
anklu 閹
anklv 閹
anli 閩
anlmc 闠
anlmi 閩
anm 閂
anmfj 閛
anmg 閏
anmj 閈
anmjk 闞
anmmm 閆
anmnr 閜
anmt 開
anmwg 闉
anneg 閮
annhx 閻
annjk 闞
annkg 閮
annok 闋
ano 閃
ano 欥
anog 閵
anoi 閥
anok 暌
anomm 闟
anomr 閤
anorm 闟
anp 悶
anph 閟
anqou 闚
anr 問
anrhr 閭
anrr 閭
anrrj 闡
anrrr 闆
ansj 聞
ansqf 闖
ansrj 闢
antcu 闀
antuo 闕
anumt 闓
anvit 關
anwd 閫
anwl 閘
anwlv 闤
anygq 闥
anyhn 閌
anyhs 閍
anyk 閔
anymr 誾
anysy 閼
anyta 闇
anyvo 閡
aodmq 韙
aofh 尟
aohaf 鶗
aoii 昤
aoin 昑
aombc 題
aomi 昤
aomn 昑
aop 匙
aos 昨
aowy 晦
aphh 易
aphh 昒
api 旳
apim 昀
apm 旳
apmm 昀
app 昆
apr 昫
apu 旽
apvo 曷
aqka 暙
aqmb 晴
arf 照
arf 煦
armd 冔
arrj 暺
arrk 曮
arse 暇
arye 暇
asf 煚
ashr 昭
asje 最
asmg 曜
